PID,q1,q1ans,q2,q2ans,q3,q3ans,q4,q4ans,q5,q5ans,q6,q6ans,q7,q7ans,q8,q8ans,q9,q9ans,q10,q10ans,q11,q11ans,q12,q12ans,q13,q13ans,q14,q14ans,q15,q15ans,q16,q16ans,q17,q17ans,q18,q18ans,q19,q19ans,q20,q20ans,q21,q21ans,q22,q22ans,q23,q23ans,q24,q24ans,q25,q25ans,deckA_effort,deckA_boredom,deckB_effort,deckB_boredom,selfadmit,attencheck,nfc_1r,nfc_2r,nfc_3r,nfc_4r,nfc_5r,nfc_6r,nfc_7r,nfc_8r,nfc_9r,nfc_10r,nfc_11r,nfc_12r,nfc_13r,nfc_14r,nfc_15r,nfc_16r,nfc_17r,nfc_18r,bps1,bps2,bps3,bps4,bps5,bps6,bps7,bps8
145,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,,4,3,1,No,Blue,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
146,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,7,4,,5,No,Blue,2,3,3,2,2,4,4,3,4,4,2,2,2,2,4,5,2,2,5,3,4,2,3,2,2,5
147,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,blank,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,2,2,1,1,No,Blue,4,3,2,4,4,4,3,4,4,4,4,2,4,4,3,4,2,2,2,2,3,4,2,3,3,3
148,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,,7,3,3,Yes,Blue,4,3,4,4,4,3,2,3,3,2,3,2,3,3,3,3,2,3,5,5,6,5,6,4,3,3
149,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,0,3,4,1,No,Blue,4,4,2,2,2,4,3,2,2,3,4,1,4,4,3,2,1,4,3,3,2,3,1,3,1,1
150,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,0,4,4,2,No,Blue,4,4,4,3,2,2,2,5,4,2,4,2,4,2,4,5,2,4,2,3,5,2,2,3,3,3
151,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,7,6,7,5,No,Blue,2,2,3,4,3,4,4,2,3,3,4,2,3,4,2,3,2,3,4,3,4,2,3,3,1,3
152,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,correct,,7,1,1,No,Blue,4,3,4,3,2,4,2,4,5,3,3,4,1,2,3,4,4,2,2,2,5,3,3,6,1,1
153,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,0,6,7,6,No,Blue,1,1,1,2,1,1,3,4,5,1,1,1,4,5,5,5,1,5,7,3,7,6,7,6,1,1
154,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,2,5,6,1,No,Blue,2,4,4,3,2,2,4,3,2,5,4,3,1,5,4,3,3,4,2,5,5,6,2,2,3,3
155,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,incorrect,,7,7,,Yes,Blue,3,5,3,2,3,4,3,4,3,2,3,5,5,5,5,5,4,3,5,5,6,6,6,7,4,5
156,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,,7,3,,No,Blue,1,1,4,3,5,1,4,4,5,4,1,1,3,4,1,4,3,3,3,1,7,4,7,6,6,4
157,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,1,2,2,1,No,Blue,4,3,3,3,3,4,3,3,2,3,4,3,3,4,4,4,4,4,7,5,5,6,6,6,6,7
158,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,1,4,3,4,No,Blue,3,4,2,3,2,5,2,2,4,4,5,1,3,3,3,2,1,4,3,2,2,2,3,3,3,1
159,DECK A, ,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,incorrect,,7,4,1,No,Blue,2,2,4,4,4,3,4,2,4,5,4,3,1,2,2,5,2,4,2,3,6,6,4,1,3,3
160,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,0,0,1,1,No,Blue,3,4,3,4,4,2,3,3,3,2,4,3,3,4,2,2,2,3,4,5,6,5,6,6,5,4
161,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,,5,6,,No,Blue,3,2,3,3,2,2,4,2,2,3,4,1,3,3,3,4,3,3,5,2,4,4,3,2,1,2
162,DECK A, ,DECK A, ,DECK B,blank,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,0,,5,4,No,Blue,5,5,5,5,4,4,4,4,4,3,4,4,1,4,4,2,2,2,4,4,4,2,2,2,2,2
164,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,,7,1,2,No,Blue,3,4,2,2,1,4,2,4,3,3,3,4,3,3,3,4,2,4,4,4,2,4,5,3,1,2
165,DECK B,correct,DECK A, ,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,,2,6,,No,Blue,4,2,2,2,4,2,4,4,4,3,4,2,2,4,2,2,1,3,6,2,5,6,6,6,3,3
166,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,0,7,5,0,No,Blue,2,3,4,2,2,4,3,5,2,2,3,2,2,2,3,4,4,5,5,2,6,4,4,5,1,2
167,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,0,3,2,1,No,Blue,3,3,3,3,3,4,2,3,2,4,3,2,3,4,3,4,3,3,4,2,4,4,3,2,2,1
168,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,1,3,1,3,No,Blue,4,5,2,2,2,4,4,3,4,4,2,3,3,3,4,4,3,3,3,4,6,5,3,2,3,3
169,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,0,2,4,,No,Blue,3,3,3,3,3,2,4,4,4,4,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,2
170,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,0,3,4,4,No,Blue,3,3,2,4,3,3,4,2,2,4,3,2,3,3,4,4,2,3,3,3,4,2,4,3,1,2
171,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,,5,3,1,No,Blue,3,3,3,3,4,1,4,4,3,3,2,3,2,3,4,3,3,2,4,4,2,4,5,4,2,3
172,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,2,1,2,1,Yes,Blue,4,3,4,3,5,4,5,5,3,5,5,5,5,5,3,3,3,4,6,4,3,2,5,5,6,6
173,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,,7,3,3,No,Blue,3,3,2,2,2,3,2,4,4,4,3,2,3,3,3,5,1,3,2,4,2,4,2,2,2,2
174,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,0,0,2,4,No,Blue,1,2,5,4,4,1,4,4,5,2,1,3,3,3,2,2,2,2,1,1,6,1,1,1,1,1
175,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,1,5,0,1,No,Blue,3,3,3,4,3,4,3,4,4,4,4,3,3,3,3,2,2,4,7,6,6,6,6,6,5,2
176,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,4,4,3,3,No,Blue,3,2,3,2,3,3,3,3,3,3,4,3,2,3,2,2,3,2,2,2,4,2,4,4,2,4
177,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,blank,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,5,6,1,1,No,Blue,4,4,4,4,2,5,2,4,4,3,3,1,2,3,4,3,4,2,5,6,6,5,2,3,2,5
178,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,,7,3,4,No,Blue,4,3,2,2,2,5,4,4,3,3,4,2,4,4,3,5,4,2,2,1,1,3,2,1,3,3
179,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,2,6,2,6,No,Blue,3,4,4,4,4,2,4,4,4,2,3,4,5,4,3,5,5,5,7,7,7,7,5,4,3,3
180,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,,7,7,,No,Blue,4,4,2,2,2,4,4,3,3,3,3,3,3,3,5,5,3,3,5,5,4,5,3,3,1,1
181,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,,7,3,1,No,Blue,2,3,4,5,5,3,2,2,3,3,2,2,2,3,2,4,2,3,7,7,7,6,7,7,7,7
182,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,0,0,1,1,No,Blue,2,2,3,3,2,2,4,4,4,3,2,2,2,4,3,5,3,5,4,3,5,6,7,5,5,1
183,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,,7,1,3,Yes,Green,5,5,1,3,2,2,5,2,3,4,5,1,5,5,4,3,4,3,5,1,3,1,1,1,2,5
184,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK A, ,DECK B,correct,1,1,5,3,No,Blue,3,4,2,2,2,3,2,2,4,2,4,2,3,4,4,4,1,4,4,4,4,2,4,4,4,2
185,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,,7,5,,No,Blue,4,4,3,2,2,4,3,3,2,4,3,1,4,4,4,5,2,3,3,3,2,5,3,4,1,4
186,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,,5,2,2,No,Blue,3,3,2,2,2,3,2,2,2,3,4,1,3,4,3,2,2,3,4,5,4,3,3,3,2,3
187,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,5,5,6,3,No,Blue,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,6,4,5,5
188,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,1,5,3,4,No,Blue,3,3,2,4,2,2,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,2,2,4,4
190,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,,5,4,0,No,Blue,3,2,4,2,2,3,2,5,4,4,5,2,4,3,2,5,4,5,5,2,6,4,7,5,5,5
191,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK B,correct,DECK A, ,DECK B,blank,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,1,6,4,1,No,Blue,2,1,5,5,4,2,4,5,4,3,2,3,4,4,4,5,3,4,6,6,5,6,5,2,2,4
192,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,0,1,4,1,No,Blue,1,1,4,4,3,3,3,4,4,3,1,2,2,4,2,4,2,4,5,5,6,4,5,5,6,5
